series_id,lead_months,n_obs,in_sample_r2,backtest_rmse,backtest_mae,backtest_bias,alpha,beta,resid_sd
OSAT_COMPOSITE,2,16,0.7622700379733095,0.04758851339796778,0.03777180582367798,0.00575399510194699,0.019829613574987894,0.8180551032214489,0.059187398035038516
OSAT_COMPOSITE,3,16,0.7425769146357346,0.06585114727105619,0.05376616456080967,0.013897152718933322,0.021770431594180392,0.8416365931833498,0.06159011759682574
OSAT_COMPOSITE,1,17,0.6931232616507226,0.06825113792243445,0.047110046051931684,-0.02578200135933591,0.021623377168379726,0.7794988957184574,0.06930165044355736
KYEC,2,16,0.668106795393244,0.06989183032442672,0.050563939079563844,0.023312452340774083,0.016600891488107044,0.49175003844651793,0.06993369383821627
OSAT_COMPOSITE,0,17,0.5200469023635582,0.0752808672250502,0.05390781194530722,-0.02331687030903632,0.023693088066619045,0.6598432314431668,0.08666844255566605
KYEC,1,17,0.5843742007961219,0.07765718093795451,0.06636924825513445,-0.0031325179478679985,0.019640758111027782,0.4690911569374625,0.080651572917001
PTI,2,16,0.45188809486173387,0.07857330456628163,0.0697924991875177,0.02060121113974295,0.03575578977401891,0.47213703685107256,0.08987148239268998
KYEC,3,16,0.6948491923276985,0.08081774928420167,0.06542094066792523,0.032921325554644096,0.017780066457723523,0.4907805536277528,0.06705706632120291
KYEC,0,17,0.35601475916905534,0.08254278047449386,0.0719784638209434,-0.0020002795107448104,0.02446964674637776,0.3401157235050004,0.1003921025364188
ASE,1,17,0.6865527723579651,0.0828739368628392,0.06821120637589637,0.0054370396799521235,0.0029269984636015912,0.7590501737292016,0.0700396245392016
ASE,0,17,0.6055482392778186,0.08739307280817457,0.07093107153200509,-0.0012591390419554901,0.005117512342718772,0.7206993964305068,0.07857032368369016
ASE,2,16,0.6351820081655626,0.09184520682022394,0.06907394754049942,0.03365425747285793,0.0013658457087620613,0.6857008660605883,0.07332049898041713
PTI,0,17,0.3053786778014703,0.09520543500235876,0.07296254039169559,-0.010538086330049426,0.03806611748247957,0.37363038848195035,0.10426430387423431
PTI,3,16,0.4610560880371215,0.09804465790140347,0.08836759080386439,0.01760746623446762,0.03870208116003829,0.5079402814498383,0.08911669522079942
ASE,3,16,0.5270687168854304,0.10105098302423826,0.0695289967085041,0.04060592793673929,0.0033702429146150216,0.6497309871879802,0.08348074359786631
PTI,1,17,0.41451674878204825,0.10374482141767584,0.07833870337786789,-0.021813002269833723,0.039135396865105386,0.45074322979512044,0.09572355755062367
CHIPMOS,3,16,0.05994766523155637,0.11224029077626668,0.08108975512073008,0.050341433004675425,0.03322390305676241,0.16598932637352123,0.11769643378463547
CHIPMOS,1,17,0.014568451102524027,0.11539750923678573,0.0855790103872583,0.03217646092835243,0.040850701980253576,0.08005222550822817,0.12418662483935179
CHIPMOS,2,16,0.03594866455746759,0.11770099675640745,0.08573041991645994,0.06083485716265498,0.031833470253448494,0.12505155054509423,0.1191893271123621
CHIPMOS,0,17,0.0013872106616800162,0.12246424036984524,0.08792895199514124,0.04619853092490499,0.04050671420457499,0.025065036334485945,0.12501443277733798
TSMC,2,16,0.25284537755731673,0.12339044595281415,0.1010899683379615,0.015212503449280004,-0.04766333347104232,0.2976267373191488,0.10492827458817787
TSMC,1,17,0.2409089895617983,0.12454609452741901,0.10599842738520432,-0.0067587791996438435,-0.037697805973480124,0.2940426933238049,0.10899548719684136
TSMC,3,16,0.18933093237734944,0.1256775510349899,0.0924506703617605,0.023411306185890914,-0.03607167287366997,0.2538938233156055,0.10929721321216039
TSMC,0,17,0.3146583232421448,0.12767576257651225,0.11333193953959217,-0.01933195794521216,-0.0519891755983306,0.3469685291404482,0.10356551382524583
